,Song,Artist,Writer,Album,Year
42,Stay Beautiful,Taylor Swift,Taylor Swift  Liz Rose,Taylor Swift,2006
43,State of Grace,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
44,Starlight,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
45,Speak Now,Taylor Swift,Taylor Swift,Speak Now,2010
46,Sparks Fly,Taylor Swift,Taylor Swift,Speak Now,2010
47,Soon You'll Get Better,Taylor Swift featuring Dixie Chicks,Taylor Swift  Jack Antonoff,Lover,2019
48,So It Goes...,Taylor Swift,Taylor Swift  Max Martin  Shellback  Oscar Görres,Reputation,2017
49,Snow on the Beach,Taylor Swift  featuring Lana Del Rey,Taylor Swift  Lana Del Rey  Jack Antonoff,Midnights,2022
50,Silent Night (cover),Taylor Swift,Josef Mohr  Franz Xaver Gruber,Sounds of the Season,2007
51,Should've Said No,Taylor Swift,Taylor Swift,Taylor Swift,2006
52,Shake It Off,Taylor Swift,Taylor Swift  Max Martin  Shellback,1989,2014
53,Seven,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
54,September (cover),Taylor Swift,Maurice White  Al McKay  Allee Willis,Spotify Singles,2018
55,Santa Baby (cover),Taylor Swift,Joan Javits  Philip Springer  Tony Springer,Sounds of the Season,2007
56,Safe & Sound,Taylor Swift  featuring the Civil Wars,Taylor Swift  Joy Williams  John Paul White  T-Bone Burnett,The Hunger Games,2011
57,Sad Beautiful Tragic,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
58,Run,Taylor Swift  featuring Ed Sheeran,Taylor Swift  Ed Sheeran,Red (Taylor's Version),2021
59,Ronan,Taylor Swift,Taylor Swift  Maya Thompson,Originally a non-album charity single Red (Taylor's Version),2012 and 2021
60,Right Where You Left Me,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore (Deluxe version),2020
61,Renegade,Big Red Machinefeaturing Taylor Swift,Aaron Dessner  Taylor Swift,How Long Do You Think It's Gonna Last?,2021
62,Red,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
63,...Ready for It?,Taylor Swift,Taylor Swift  Max Martin  Shellback  Ali Payami,Reputation,2017
64,Question...?,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
65,A Place in This World,Taylor Swift,Taylor Swift  Robert Ellis Orrall  Angelo Petraglia,Taylor Swift,2006
66,Picture to Burn,Taylor Swift,Taylor Swift  Liz Rose,Taylor Swift,2006
67,A Perfectly Good Heart,Taylor Swift,Taylor Swift  Brett James  Troy Verges,Taylor Swift  (Deluxe edition),2007
68,Peace,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
69,Paris,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights (3am Edition),2022
70,Paper Rings,Taylor Swift,Taylor Swift  Jack Antonoff,Lover,2019
71,The Outside,Taylor Swift,Taylor Swift,Taylor Swift,2006
72,Out of the Woods,Taylor Swift,Taylor Swift  Jack Antonoff,1989,2014
73,Ours,Taylor Swift,Taylor Swift,Speak Now(Deluxe edition),2010
74,Our Song,Taylor Swift,Taylor Swift,Taylor Swift,2006
75,The Other Side of the Door,Taylor Swift,Taylor Swift,Fearless (Platinum edition) and Fearless (Taylor's Version),2009 and 2021
76,Only the Young,Taylor Swift,Taylor Swift  Joel Little,Non-album promotional single,2020
77,Nothing New,Taylor Swift  featuring Phoebe Bridgers,Taylor Swift,Red (Taylor's Version),2021
78,"No Body, No Crime",Taylor Swift featuring Haim,Taylor Swift,Evermore,2020
79,New Year's Day,Taylor Swift,Taylor Swift  Jack Antonoff,Reputation,2017
80,New Romantics,Taylor Swift,Taylor SwiftMax MartinShellback,1989(Deluxe edition),2014
81,Never Grow Up,Taylor Swift,Taylor Swift,Speak Now,2010
82,My Tears Ricochet,Taylor Swift,Taylor Swift,Folklore,2020
83,Mr. Perfectly Fine,Taylor Swift,Taylor Swift,Fearless (Taylor's Version),2021
84,The Moment I Knew,Taylor Swift,Taylor Swift,Red (Deluxe edition) and Red (Taylor's Version),2012 and 2021
85,Miss Americana & the Heartbreak Prince,Taylor Swift,Taylor Swift  Joel Little,Lover,2019
86,Mirrorball,Taylor Swift,Taylor SwiftJack Antonoff,Folklore,2020
87,Mine,Taylor Swift,Taylor Swift,Speak Now,2010
88,Midnight Rain,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
89,Message in a Bottle,Taylor Swift,Taylor SwiftMax MartinShellback,Red (Taylor's Version),2021
90,Mean,Taylor Swift,Taylor Swift,Speak Now,2010
91,Me!,Taylor Swift  featuring Brendon Urie of Panic! at the Disco,Taylor Swift  Joel Little  Brendon Urie,Lover,2019
92,Mary's Song (Oh My My My),Taylor Swift,Taylor Swift  Liz Rose  Brian Maher,Taylor Swift,2006
93,Mastermind,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
94,Maroon,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
95,Marjorie,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
96,The Man,Taylor Swift,Taylor SwiftJoel Little,Lover,2019
97,Mad Woman,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
98,Macavity (cover),Taylor Swiftand Idris Elba,Andrew Lloyd WebberT. S. Eliot,Cats: Highlights from the Motion Picture Soundtrack,2019
99,The Lucky One,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
100,Lover (Remix),Taylor Swift featuring Shawn Mendes,Taylor SwiftShawn MendesScott Harris,Non-album single[e],2019
101,Lover,Taylor Swift,Taylor Swift,Lover,2019
102,Love Story,Taylor Swift,Taylor Swift,Fearless and Fearless (Taylor's Version),2008 and 2021
103,Look What You Made Me Do,Taylor Swift,Taylor Swift  Jack Antonoff Fred Fairbrass  Richard Fairbrass  Rob Manzoli[d],Reputation,2017
104,London Boy,Taylor Swift,Taylor SwiftJack AntonoffCautious ClaySounwave,Lover,2019
105,Long Story Short,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
106,Long Live (Brazilian remixed single version),Taylor Swift  featuring Paula Fernandes,Taylor Swift  Paula Fernandes,Speak Now World Tour – Live,2012
107,Long Live,Taylor Swift,Taylor Swift,Speak Now,2010
108,Lavender Haze,Taylor Swift,Taylor Swift  Jack Antonoff Zoë Kravitz Mark Spears  Jahaan Sweet  Sam Dew,Midnights,2022
109,The Last Time,Taylor Swift  featuring Gary Lightbody of Snow Patrol,Taylor Swift  Gary Lightbody  Jacknife Lee,Red and Red (Taylor's Version),2012 and 2021
110,Last Kiss,Taylor Swift,Taylor Swift,Speak Now,2010
111,The Last Great American Dynasty,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
112,Last Christmas (cover),Taylor Swift,George Michael,Sounds of the Season,2007
113,The Lakes,Taylor Swift,Taylor Swift  Jack Antonoff,Folklore  (Deluxe edition),2020
114,Labyrinth,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
115,King of My Heart,Taylor Swift,Taylor Swift  Max Martin  Shellback,Reputation,2017
116,Karma,Taylor Swift,Taylor Swift  Jack Antonoff  Mark Spears  Jahaan Sweet  Keanu Torres,Midnights,2022
117,The Joker and the Queen (remixed single version),Ed Sheeran  featuring Taylor Swift,Ed Sheeran  Taylor Swift  Johnny McDaid  Fred Gibson  Sam Roman,Non-album single,2022
118,Jump Then Fall,Taylor Swift,Taylor Swift,"Fearless (Platinum edition),Valentine's Day: Soundtrack, and Fearless (Taylor's Version)",2009 and 2021
119,Ivy,Taylor Swift,Taylor Swift  Jack Antonoff  Aaron Dessner,Evermore,2020
120,I'm Only Me When I'm with You,Taylor Swift,Taylor Swift  Robert Ellis Orrall  Angelo Petraglia,Taylor Swift  (Deluxe edition),2007
121,It's Time to Go,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore  (Deluxe version),2020
122,It's Nice to Have a Friend,Taylor Swift,Taylor SwiftLouis BellFrank Dukes,Lover,2019
123,Invisible String,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
124,Invisible,Taylor Swift,Taylor Swift  Robert Ellis Orrall,Taylor Swift(Deluxe edition),2007
125,Innocent,Taylor Swift,Taylor Swift,Speak Now,2010
126,Illicit Affairs,Taylor Swift,Taylor SwiftJack Antonoff,Folklore,2020
127,If This Was a Movie,Taylor Swift,Taylor Swift  Martin Johnson,Speak Now  (Deluxe edition),2010
128,I Wish You Would,Taylor Swift,Taylor SwiftJack Antonoff,1989,2014
129,I Want You Back (live cover),Taylor Swift,"Freddie Perren  Deke Richards  Berry Gordy, Jr.  Alphonso Mizell",Speak Now World Tour – Live,2011
130,I Think He Knows,Taylor Swift,Taylor SwiftJack Antonoff,Lover,2019
131,I Know Places,Taylor Swift,Taylor SwiftRyan Tedder,1989,2014
132,I Knew You Were Trouble,Taylor Swift,Taylor Swift  Max Martin  Shellback,Red and Red (Taylor's Version),2012 and 2021
133,I Heart ?,Taylor Swift,Taylor Swift,Beautiful Eyes,2008
134,I Forgot That You Existed,Taylor Swift,Taylor SwiftLouis BellFrank Dukes,Lover,2019
135,I Don't Wanna Live Forever,Zayn and Taylor Swift,Taylor SwiftSam DewJack Antonoff,Fifty Shades Darker: Original Motion Picture Soundtrack,2016
136,I Did Something Bad,Taylor Swift,Taylor Swift  Max Martin  Shellback,Reputation,2017
137,I Bet You Think About Me,Taylor Swift  featuring Chris Stapleton,Taylor Swift  Lori McKenna,Red (Taylor's Version),2021
138,I Almost Do,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
139,How You Get the Girl,Taylor Swift,Taylor SwiftMax MartinShellback,1989,2014
140,Holy Ground,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
141,Hold On (live cover),Jack Ingram  featuring Taylor Swift,Blu Sanders,Rhapsody Originals[c],2007
142,Hoax,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
143,Hits Different,Taylor Swift,Taylor Swift  Jack Antonoff  Aaron Dessner,Midnights (Deluxe edition),2022
144,Highway Don't Care,Tim McGraw and Taylor Swift featuring Keith Urban,Mark Irwin  Josh Kear  Brad Warren  Brett Warren,Two Lanes of Freedom,2013
145,High Infidelity,Taylor Swift,Taylor Swift  Aaron Dessner,Midnights (3am Edition),2022
146,Hey Stephen,Taylor Swift,Taylor Swift,Fearless and Fearless (Taylor's Version),2008 and 2021
147,Haunted,Taylor Swift,Taylor Swift,Speak Now,2010
148,Happiness,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
149,Half of My Heart (album version),John Mayer  featuring Taylor Swift,John Mayer,Battle Studies,2009
150,The Great War,Taylor Swift,Taylor Swift  Aaron Dessner,Midnights (3am Edition),2022
151,Gorgeous,Taylor Swift,Taylor Swift  Max Martin  Shellback,Reputation,2017
152,Gold Rush,Taylor Swift,Taylor Swift  Jack Antonoff,Evermore,2020
153,Glitch,Taylor Swift,Taylor Swift  Jack Antonoff  Mark Spears  Sam Dew,Midnights (3am Edition),2022
154,Girl at Home,Taylor Swift,Taylor Swift,Red (Deluxe edition) and Red (Taylor's Version),2012 and 2021
155,Getaway Car,Taylor Swift,Taylor Swift  Jack Antonoff,Reputation,2017
156,Gasoline,Haimand Taylor Swift,Danielle HaimEste HaimAlana HaimRostam BatmanglijAriel Rechtshaid,Women in Music Pt. III(Expanded edition),2021
157,Forever Winter,Taylor Swift,Taylor Swift  Mark Foster,Red (Taylor's Version),2021
158,Forever & Always,Taylor Swift,Taylor Swift,Fearless and Fearless (Taylor's Version),2008 and 2021
159,Fifteen,Taylor Swift,Taylor Swift,Fearless and Fearless (Taylor's Version),2008 and 2021
160,Fearless,Taylor Swift,Taylor Swift  Liz Rose  Hillary Lindsey,Fearless and Fearless (Taylor's Version),2008 and 2021
161,False God,Taylor Swift,Taylor SwiftJack Antonoff,Lover,2019
162,Eyes Open,Taylor Swift,Taylor Swift,The Hunger Games,2012
163,Exile,Taylor Swift  featuring Bon Iver,Taylor SwiftJustin VernonWilliam Bowery,Folklore,2020
164,Everything Has Changed,Taylor Swift  featuring Ed Sheeran,Taylor Swift  Ed Sheeran,Red and Red (Taylor's Version),2012 and 2021
165,Evermore,Taylor Swift featuring Bon Iver,Taylor Swift  Justin Vernon  William Bowery,Evermore,2020
166,Epiphany,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
167,End Game,Taylor Swift  featuring Ed Sheeran and Future,Taylor Swift  Max Martin  Shellback  Ed Sheeran  Nayvadius Wilburn,Reputation,2017
168,Enchanted,Taylor Swift,Taylor Swift,Speak Now,2010
169,Drops of Jupiter (live cover),Taylor Swift,Charlie Colin Rob Hotchkiss Jimmy Stafford Pat Monahan Scott Underwood,Speak Now World Tour – Live,2011
170,Dress,Taylor Swift,Taylor Swift Jack Antonoff,Reputation,2017
171,Dorothea,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
172,Don't You,Taylor Swift,Taylor Swift  Tommy Lee James,Fearless (Taylor's Version),2021
173,Don't Blame Me,Taylor Swift,Taylor Swift Max Martin Shellback,Reputation,2017
174,Delicate,Taylor Swift,Taylor Swift Max Martin Shellback,Reputation,2017
175,Dear Reader,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights (3am Edition),2022
176,Dear John,Taylor Swift,Taylor Swift,Speak Now,2010
177,Death by a Thousand Cuts,Taylor Swift,Taylor SwiftJack Antonoff,Lover,2019
178,Daylight,Taylor Swift,Taylor Swift,Lover,2019
179,Dancing with Our Hands Tied,Taylor Swift,Taylor Swift  Max Martin  Shellback  Oscar Holter,Reputation,2017
180,Cruel Summer,Taylor Swift,Taylor SwiftJack AntonoffSt. Vincent,Lover,2019
181,Crazier,Taylor Swift,Taylor Swift  Robert Ellis Orrall,Hannah Montana: The Movie,2009
182,Cowboy Like Me,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
183,Cornelia Street,Taylor Swift,Taylor Swift,Lover,2019
184,Coney Island,Taylor Swift featuring the National,Taylor Swift  Aaron Dessner  Bryce Dessner  William Bowery,Evermore,2020
185,Come in with the Rain,Taylor Swift,Taylor Swift  Liz Rose,Fearless (Platinum edition) and Fearless (Taylor's Version),2009 and 2021
186,Come Back... Be Here,Taylor Swift,Taylor Swift  Dan Wilson,Red  (Deluxe edition) and Red (Taylor's Version),2012 and 2021
187,Cold as You,Taylor Swift,Taylor Swift  Liz Rose,Taylor Swift,2006
188,Closure,Taylor Swift,Taylor Swift  Aaron Dessner,Evermore,2020
189,Clean,Taylor Swift,Taylor SwiftImogen Heap,1989,2014
190,Christmases When You Were Mine,Taylor Swift,Taylor Swift  Liz Rose  Nathan Chapman,Sounds of the Season,2007
191,Christmas Tree Farm,Taylor Swift,Taylor Swift,Non-album single,2019 and 2021
192,Christmas Must Be Something More,Taylor Swift,Taylor Swift,Sounds of the Season,2007
193,Change,Taylor Swift,Taylor Swift,"AT&T Team USA Soundtrack,Fearless, and Fearless (Taylor's Version)",2008 and 2021
194,Champagne Problems,Taylor Swift,Taylor Swift  William Bowery,Evermore,2020
195,Carolina,Taylor Swift,Taylor Swift,Where the Crawdads Sing,2022
196,Cardigan,Taylor Swift,Taylor Swift  Aaron Dessner,Folklore,2020
197,Call It What You Want,Taylor Swift,Taylor Swift  Jack Antonoff,Reputation,2017
198,Bye Bye Baby,Taylor Swift,Taylor Swift  Liz Rose,Fearless (Taylor's Version),2021
199,Breathless (cover),Taylor Swift,Kevin Griffin,Hope for Haiti Now,2010
200,Breathe,Taylor Swift  featuring Colbie Caillat,Taylor Swift  Colbie Caillat,Fearless and Fearless (Taylor's Version),2008 and 2021
201,Both of Us,B.o.B  featuring Taylor Swift,"Bobby Ray Simmons, Jr.  Taylor Swift  Ammar Malik  Lukasz Gottwald  Henry Walter",Strange Clouds,2012
202,Blank Space,Taylor Swift,Taylor SwiftMax MartinShellback,1989,2014
203,Birch,Big Red Machinefeaturing Taylor Swift,Aaron DessnerBryan DevendorfJustin Vernon,How Long Do You Think It's Gonna Last?,2021
204,Big Star (Live),Kenny Chesneyand Taylor Swift,Stephony Smith,Live in No Shoes Nation,2017
205,Bigger Than the Whole Sky,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights (3am Edition),2022
206,Betty,Taylor Swift,Taylor SwiftWilliam Bowery,Folklore,2020
207,Better than Revenge,Taylor Swift,Taylor Swift,Speak Now,2010
208,Better Man (Taylor's Version),Taylor Swift,Taylor Swift,Red (Taylor's Version),2021
209,Better Man,Little Big Town,Taylor Swift,The Breaker,2016
210,Bette Davis Eyes (live cover),Taylor Swift,Donna Weiss  Jackie DeShannon,Speak Now World Tour – Live,2011
211,Best Days of Your Life,Kellie Pickler,Kellie PicklerTaylor Swift,Kellie Pickler,2008
212,The Best Day,Taylor Swift,Taylor Swift,Fearless and Fearless (Taylor's Version),2008 and 2021
213,Bejeweled,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
214,Begin Again,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021
215,Beautiful Ghosts,Taylor Swift,Taylor SwiftAndrew Lloyd Webber,Cats: Highlights from the Motion Picture Soundtrack,2019
216,Beautiful Eyes,Taylor Swift,Taylor Swift,Beautiful Eyes,2008
217,Bad Blood (remixed single version),Taylor Swift featuring Kendrick Lamar,Taylor SwiftMax MartinShellbackKendrick Lamar,Non-album single[b],2015
218,Bad Blood,Taylor Swift,Taylor SwiftMax MartinShellback,1989,2014
219,Back to December,Taylor Swift,Taylor Swift,Speak Now,2010
220,Babe (Taylor's Version),Taylor Swift,Taylor Swift  Patrick Monahan,Red (Taylor's Version),2021
221,Babe,Sugarland  featuring Taylor Swift,Taylor Swift  Patrick Monahan,Bigger,2018
222,August,Taylor Swift,Taylor SwiftJack Antonoff,Folklore,2020
223,The Archer,Taylor Swift,Taylor Swift  Jack Antonoff,Lover,2019
224,Anti-Hero,Taylor Swift,Taylor Swift  Jack Antonoff,Midnights,2022
225,American Girl (cover),Taylor Swift,Tom Petty,None[a],2009
226,All You Had to Do Was Stay,Taylor Swift,Taylor SwiftMax Martin,1989,2014
227,All Too Well (10 minute version),Taylor Swift,Taylor SwiftLiz Rose,Red (Taylor's Version),2021
228,All Too Well,Taylor Swift,Taylor SwiftLiz Rose,Red and Red (Taylor's Version),2012 and 2021
229,Afterglow,Taylor Swift,Taylor SwiftLouis BellFrank Dukes,Lover,2019
230,22,Taylor Swift,Taylor Swift  Max Martin  Shellback,Red and Red (Taylor's Version),2012 and 2021
231,The 1,Taylor Swift,Taylor SwiftAaron Dessner,Folklore,2020
